Admission Tickets	U+1F39F
Shibuya 109 Department Store	U+E50A
Shinto Shrine	U+26E9
Kaminomichi	U+26E9
Ship	U+1F6A2
Cruise	U+1F6A2
Cruise Ship	U+1F6A2
Ferry	U+1F6A2
Shooting Star	U+1F320
Meteoroid	U+1F320
When You Wish Upon A Star	U+1F320
Shopping Bags	U+1F6CD
Shortcake	U+1F370
Cake	U+1F370
Piece Of Cake	U+1F370
Strawberry Shortcake	U+1F370
Shower	U+1F6BF
Shower Head	U+1F6BF
Shrug	U+1F937
Shrugging	U+1F937
ツ	U+1F937
Sign of the Horns	U+1F918
Rock On	U+1F918
Heavy Metal	U+1F918
Devil Fingers	U+1F918
Silhouette of Japan	U+1F5FE
Map Of Japan	U+1F5FE
Six Pointed Star With Middle Dot	U+1F52F
Ski and Ski Boot	U+1F3BF
Skis	U+1F3BF
Skiing	U+1F3BF
Skier	U+26F7
Skull and Crossbones	U+2620
Skull	U+1F480
Grey Skull	U+1F480
Skeleton	U+1F480
Death	U+1F480
Sleeping Accommodation	U+1F6CC
Sleeping Face	U+1F634
Snoring	U+1F634
Zzz Face	U+1F634
Sleep Face	U+1F634
Sleeping Symbol	U+1F4A4
Zzz	U+1F4A4
Sleep	U+1F4A4
Bedtime	U+1F4A4
Boring	U+1F4A4
Sleepy Face	U+1F62A
SideTear	U+1F62A
Snot Bubble	U+1F62A
Sleuth or Spy	U+1F575
Detective	U+1F575
Spy	U+1F575
Sleuth	U+1F575
Private Eye	U+1F575
Slice of Pizza	U+1F355
Pizza	U+1F355
Pepperoni Pizza	U+1F355
Slightly Frowning Face	U+1F641
Slightly Sad	U+1F641
Slightly Smiling Face	U+1F642
Slightly Happy	U+1F642
Slot Machine	U+1F3B0
Poker Machine	U+1F3B0
Casino	U+1F3B0
Gambling	U+1F3B0
Fruit Machine	U+1F3B0
Small Airplane	U+1F6E9
Small Blue Diamond	U+1F539
Small Orange Diamond	U+1F538
Smiling Cat Face With Heart-Shaped Eyes	U+1F63B
Heart Eyes Cat	U+1F63B
Loving Cat	U+1F63B
Smiling Cat Face With Open Mouth	U+1F63A
Smiling Cat	U+1F63A
Happy Cat	U+1F63A
Smiling Face With Halo	U+1F607
Angel	U+1F607
Halo	U+1F607
Smiling Face With Heart-Shaped Eyes	U+1F60D
Heart Eyes	U+1F60D
Heart Face	U+1F60D
Smiling Face With Horns	U+1F608
Happy Devil	U+1F608
Purple Devil	U+1F608
Red Devil	U+1F608
Devil	U+1F608
Devil Horns	U+1F608
Smiling Face With Open Mouth and Cold Sweat	U+1F605
Happy Sweat	U+1F605
Exercise	U+1F605
Smiling Face With Open Mouth and Smiling Eyes	U+1F604
Smiley Face	U+1F604
Grinning Face	U+1F604
Happy Face	U+1F604
Smiling Face With Open Mouth and Tightly-Closed Eyes	U+1F606
Big Grin	U+1F606
ClosedEyes Smile	U+1F606
Smiling Face With Open Mouth	U+1F603
Happy	U+1F603
Happy Face	U+1F603
Smiley Face	U+1F603
Grinning Face	U+1F603
Smiling Face With Smiling Eyes	U+1F60A
Smile	U+1F60A
Smiley Face	U+1F60A
Happy Face	U+1F60A
Smiling Face With Sunglasses	U+1F60E
Cool	U+1F60E
Sunglasses	U+1F60E
Sunnies	U+1F60E
Snapchat Mutual Best Friends	U+1F60E
Smirking Face	U+1F60F
Suggestive Smile	U+1F60F
Flirting	U+1F60F
Sexual Face	U+1F60F
Smug Face	U+1F60F
Smoking Symbol	U+1F6AC
Cigarette	U+1F6AC
Smoke	U+1F6AC
Snail	U+1F40C
Garden Snail	U+1F40C
Slug	U+1F40C
Snake	U+1F40D
Green Snake	U+1F40D
Sneezing Face	U+1F927
Snow Capped Mountain	U+1F3D4
Snowboarder	U+1F3C2
Snowboarding	U+1F3C2
Snowboard	U+1F3C2
Snowflake	U+2744
Snow	U+2744
Snowing	U+2744
Snowman Without Snow	U+26C4
Snowman	U+26C4
Frosty The Snowman	U+26C4
Olaf	U+26C4
Snowman	U+2603
Snowing Snowman	U+2603
Soccer Ball	U+26BD
Soccer	U+26BD
Football	U+26BD
Soft Ice Cream	U+1F366
Soft Serve	U+1F366
Mr Whippy	U+1F366
Soon With Rightwards Arrow Above	U+1F51C
Soon	U+1F51C
South East Arrow	U+2198
Diagonal DownRight Arrow	U+2198
South West Arrow	U+2199
Diagonal DownLeft Arrow	U+2199
Spaghetti	U+1F35D
Spaghetti Bolognese	U+1F35D
Pasta	U+1F35D
Sparkle	U+2747
Sparkles	U+2728
Stars	U+2728
Sparkle	U+2728
Sparkling Heart	U+1F496
Sparkle Heart	U+1F496
Sparkly Heart	U+1F496
Stars Heart	U+1F496
Speak-No-Evil Monkey	U+1F64A
Monkey Covering Mouth	U+1F64A
Iwazaru	U+1F64A
No Speaking	U+1F64A
Speaker With Cancellation Stroke	U+1F507
Mute Volume	U+1F507
Speaker With One Sound Wave	U+1F509
Reduce Volume	U+1F509
Speaker With Three Sound Waves	U+1F50A
Increase Volume	U+1F50A
Speaker	U+1F508
Volume	U+1F508
Speaking Head in Silhouette	U+1F5E3
Speech Balloon	U+1F4AC
Speech Bubble	U+1F4AC
Chat Bubble	U+1F4AC
Speedboat	U+1F6A4
Motorboat	U+1F6A4
Powerboat	U+1F6A4
Spider Web	U+1F578
Cobweb	U+1F578
Web	U+1F578
Spider	U+1F577
FunnelWeb Spider	U+1F577
Spiral Shell	U+1F41A
Seashell	U+1F41A
Shell	U+1F41A
Beach	U+1F41A
Splashing Sweat Symbol	U+1F4A6
Water Drops	U+1F4A6
Splashing Water	U+1F4A6
Plewds	U+1F4A6
Spoon	U+1F944
Sports Medal	U+1F3C5
Squared CJK Unified Ideograph-5272	U+1F239
割	U+1F239
Bargain Sale	U+1F239
Squared CJK Unified Ideograph-5408	U+1F234
合	U+1F234
Agreement	U+1F234
Squared CJK Unified Ideograph-55b6	U+1F23A
営	U+1F23A
Work	U+1F23A
Squared CJK Unified Ideograph-6307	U+1F22F
指	U+1F22F
Finger Point	U+1F22F
Squared CJK Unified Ideograph-6708	U+1F237
月	U+1F237
Radical 74	U+1F237
Squared CJK Unified Ideograph-6709	U+1F236
有	U+1F236
Own	U+1F236
Squared CJK Unified Ideograph-6e80	U+1F235
満	U+1F235
Full	U+1F235
Squared CJK Unified Ideograph-7121	U+1F21A
無	U+1F21A
Lacking	U+1F21A
Squared CJK Unified Ideograph-7533	U+1F238
申	U+1F238
Request	U+1F238
Application Form	U+1F238
Monkey	U+1F238
Squared CJK Unified Ideograph-7981	U+1F232
禁	U+1F232
Forbid	U+1F232
Squared CJK Unified Ideograph-7a7a	U+1F233
空	U+1F233
Empty and Available	U+1F233
Squared CL	U+1F191
Clear	U+1F191
Clear Button	U+1F191
Squared Cool	U+1F192
Cool Square	U+1F192
Squared Free	U+1F193
Free	U+1F193
Squared ID	U+1F194
ID	U+1F194
Identification	U+1F194
Squared Katakana Koko	U+1F201
Here	U+1F201
Destination	U+1F201
Squared Katakana Sa	U+1F202
Squared New	U+1F195
New	U+1F195
Squared NG	U+1F196
NG	U+1F196
No Good	U+1F196
Blooper	U+1F196
Squared OK	U+1F197
OK	U+1F197
Okay	U+1F197
Square	U+1F197
Squared SOS	U+1F198
SOS	U+1F198
Distress Signal	U+1F198
Emergency	U+1F198
Squared Up With Exclamation Mark	U+1F199
Up	U+1F199
Level Up	U+1F199
Squared Vs	U+1F19A
Stadium	U+1F3DF
Sport Stadium	U+1F3DF
Grandstand	U+1F3DF
Star and Crescent	U+262A
Star of David	U+2721
Station	U+1F689
Train Station	U+1F689
Train Platform	U+1F689
Statue of Liberty	U+1F5FD
New York	U+1F5FD
Steam Locomotive	U+1F682
Steam Train	U+1F682
Railway Locomotive	U+1F682
Steaming Bowl	U+1F35C
Ramen	U+1F35C
Noodles	U+1F35C
Noodles With Chopsticks	U+1F35C
Stopwatch	U+23F1
Straight Ruler	U+1F4CF
Strawberry	U+1F353
Strawberries	U+1F353
Studio Microphone	U+1F399
Stuffed Flatbread	U+1F959
Shawarma	U+1F959
Souvlaki	U+1F959
Doner Kebab	U+1F959
Sun Behind Cloud	U+26C5
Sun With Face	U+1F31E
Smiling Sun	U+1F31E
Smiley Sun	U+1F31E
Sunface	U+1F31E
Sunflower	U+1F33B
Flower	U+1F33B
Yellow Flower	U+1F33B
Sunrise Over Mountains	U+1F304
Sunrise	U+1F304
Morning	U+1F304
Sunrise	U+1F305
Sunset	U+1F305
Sunset Over Buildings	U+1F307
City Sunset	U+1F307
Surfer	U+1F3C4
Surfing	U+1F3C4
Surf	U+1F3C4
Sushi	U+1F363
Seafood	U+1F363
Sashimi	U+1F363
Suspension Railway	U+1F69F
Swimmer	U+1F3CA
Swimming	U+1F3CA
Freestyle	U+1F3CA
Synagogue	U+1F54D
Jewish	U+1F54D
Synagog	U+1F54D
Temple	U+1F54D
Syringe	U+1F489
Needle	U+1F489
Blood Test	U+1F489
Blood Donation	U+1F489
Vaccination	U+1F489
T-Shirt	U+1F455
Polo Shirt	U+1F455
Tee Shirt	U+1F455
Table Tennis Paddle and Ball	U+1F3D3
Ping Pong	U+1F3D3
Table Tennis	U+1F3D3
Taco	U+1F32E
Tanabata Tree	U+1F38B
Wish Tree	U+1F38B
Tanabata	U+1F38B
Tangerine	U+1F34A
Orange	U+1F34A
Mandarin	U+1F34A
Taurus	U+2649
Taxi	U+1F695
Taxicab	U+1F695
New York Taxi	U+1F695
Side Of Taxi	U+1F695
Tear-Off Calendar	U+1F4C6
Day Calendar	U+1F4C6
Desk Calendar	U+1F4C6
Telephone Receiver	U+1F4DE
Phone	U+1F4DE
Handset	U+1F4DE
Telescope	U+1F52D
Stargazing	U+1F52D
Television	U+1F4FA
TV	U+1F4FA
Tennis Racquet and Ball	U+1F3BE
Tennis	U+1F3BE
Tennis Ball	U+1F3BE
Tennis Racket	U+1F3BE
Tennis Racquet	U+1F3BE
Tent	U+26FA
Camping Tent	U+26FA
Thermometer	U+1F321
Hot Weather	U+1F321
Temperature	U+1F321
Thinking Face	U+1F914
Thinker	U+1F914
Thought Balloon	U+1F4AD
Thought Bubble	U+1F4AD
Thinking Bubble	U+1F4AD
Three Button Mouse	U+1F5B1
Thumbs Down Sign	U+1F44E
Thumbs Down	U+1F44E
No	U+1F44E
Dislike	U+1F44E
Thumbs Up Sign	U+1F44D
Thumbs Up	U+1F44D
Yes	U+1F44D
Like	U+1F44D
Thunder Cloud and Rain	U+26C8
Ticket	U+1F3AB
Ticket Stub	U+1F3AB
World Tour TIcket	U+1F3AB
Tiger Face	U+1F42F
Cute Tiger	U+1F42F
Tiger	U+1F405
Bengal Tiger	U+1F405
Timer Clock	U+23F2
Tired Face	U+1F62B
Exhausted	U+1F62B
Fed Up	U+1F62B
Toilet	U+1F6BD
Restroom	U+1F6BD
Bathroom	U+1F6BD
Loo	U+1F6BD
Tokyo Tower	U+1F5FC
Red Tower	U+1F5FC
Eiffel Tower	U+1F5FC
Tomato	U+1F345
Tongue	U+1F445
Tongue Out	U+1F445
Top Hat	U+1F3A9
Groom	U+1F3A9
Formal Wear	U+1F3A9
Top With Upwards Arrow Above	U+1F51D
Top	U+1F51D
Trackball	U+1F5B2
Tractor	U+1F69C
Farm	U+1F69C
Farming	U+1F69C
Trade Mark Sign	U+2122
Trademark	U+2122
TM	U+2122
Train	U+1F686
Passenger Train	U+1F686
Regular Train	U+1F686
Electric Train	U+1F686
Diesel Train	U+1F686
Tram Car	U+1F68B
Tram	U+1F68A
Triangular Flag on Post	U+1F6A9
Red Flag	U+1F6A9
Flagstick	U+1F6A9
Triangular Ruler	U+1F4D0
Triangle Ruler	U+1F4D0
Trolleybus	U+1F68E
Trolley Bus	U+1F68E
Electric Bus	U+1F68E
Trophy	U+1F3C6
Winners Trophy	U+1F3C6
Championship Trophy	U+1F3C6
Tropical Drink	U+1F379
Cocktail	U+1F379
Punch	U+1F379
Fruit Punch	U+1F379
Tropical Fish	U+1F420
Fish	U+1F420
Yellowblue Fish	U+1F420
Trumpet	U+1F3BA
Jazz	U+1F3BA
Horn	U+1F3BA
Tulip	U+1F337
Tumbler Glass	U+1F943
Whisky Glass	U+1F943
Turkey	U+1F983
Thanksgiving Turkey	U+1F983
Roast Turkey	U+1F983
Wild Turkey	U+1F983
Turtle	U+1F422
Tortoise	U+1F422
Twisted Rightwards Arrows	U+1F500
Two Hearts	U+1F495
Small Hearts	U+1F495
Two Pink Hearts	U+1F495
Two Men Holding Hands	U+1F46C
Gay Men	U+1F46C
Gay Couple	U+1F46C
Boys Holding Hands	U+1F46C
Two Women Holding Hands	U+1F46D
Lesbian	U+1F46D
Lesbian Couple	U+1F46D
Girls Holding Hands	U+1F46D
Umbrella on Ground	U+26F1
Umbrella With Rain Drops	U+2614
Umbrella	U+2614
Rain	U+2614
Rainy	U+2614
Raining	U+2614
Umbrella	U+2602
Umbrella	U+2602
Unamused Face	U+1F612
Dissatisfied	U+1F612
Unimpressed	U+1F612
Unicorn Face	U+1F984
Unicorn	U+1F984
Up Down Arrow	U+2195
Vertical Arrows	U+2195
Up-Pointing Red Triangle	U+1F53A
Up-Pointing Small Red Triangle	U+1F53C
Up Triangle	U+1F53C
Upside-Down Face	U+1F643
Silly	U+1F643
Flipped	U+1F643
Upwards Black Arrow	U+2B06
Up Arrow	U+2B06
Arrow Pointing Up	U+2B06
Vertical Traffic Light	U+1F6A6
Traffic Light	U+1F6A6
Vibration Mode	U+1F4F3
Silent Mode	U+1F4F3
Phone Heart	U+1F4F3
Victory Hand	U+270C
Peace	U+270C
V Sign	U+270C
Peace Sign	U+270C
Air Quotes	U+270C
Video Camera	U+1F4F9
Camcorder	U+1F4F9
Video Game	U+1F3AE
Console Controller	U+1F3AE
Xbox	U+1F3AE
Playstation	U+1F3AE
Wii U	U+1F3AE
Videocassette	U+1F4FC
Video Tape	U+1F4FC
VHS	U+1F4FC
VCR	U+1F4FC
Violin	U+1F3BB
String Quartet	U+1F3BB
Worlds Smallest Violin	U+1F3BB
Virgo	U+264D
Volcano	U+1F30B
Volleyball	U+1F3D0
Warning Sign	U+26A0
Alert Sign	U+26A0
Watch	U+231A
Wrist Watch	U+231A
Timepiece	U+231A
Apple Watch	U+231A
Water Buffalo	U+1F403
Buffalo	U+1F403
Domestic Water Buffalo	U+1F403
Water Closet	U+1F6BE
WC	U+1F6BE
Toilet WC	U+1F6BE
Water Polo	U+1F93E
Water Wave	U+1F30A
Waves	U+1F30A
Beach	U+1F30A
Ocean Wave	U+1F30A
Sea	U+1F30A
Watermelon	U+1F349
Waving Black Flag	U+1F3F4
Waving Hand Sign	U+1F44B
Hand Wave	U+1F44B
Waving	U+1F44B
Hello	U+1F44B
Goodbye	U+1F44B
Waving White Flag	U+1F3F3
Wavy Dash	U+3030
Wave	U+3030
Weary Cat Face	U+1F640
Scared Cat	U+1F640
Screaming Cat	U+1F640
Weary Face	U+1F629
Distraught Face	U+1F629
Wailing	U+1F629
Wedding	U+1F492
Marriage	U+1F492
Church Wedding	U+1F492
Church Heart	U+1F492
Weight Lifter	U+1F3CB
Weightlifting	U+1F3CB
Whale	U+1F40B
Humpback Whale	U+1F40B
Wheel of Dharma	U+2638
Wheelchair Symbol	U+267F
Accessible Bathroom	U+267F
White Down Pointing Backhand Index	U+1F447
Pointing Down	U+1F447
White Exclamation Mark Ornament	U+2755
White Flower	U+1F4AE
Cherry Blossom	U+1F4AE
Well Done Stamp	U+1F4AE
Paper Doily	U+1F4AE
White Frowning Face	U+2639
White Heavy Check Mark	U+2705
White Heavy Tick Mark	U+2705
Check	U+2705
Tick	U+2705
White Large Square	U+2B1C
White Left Pointing Backhand Index	U+1F448
Pointing Left	U+1F448
White Medium Small Square	U+25FD
White Medium Square	U+25FB
White Medium Star	U+2B50
Star	U+2B50
Yellow Star	U+2B50
White Question Mark Ornament	U+2754
White Right Pointing Backhand Index	U+1F449
Pointing Right	U+1F449
White Small Square	U+25AB
White Smiling Face	U+263A
Smiling	U+263A
Smiley Face	U+263A
Grinning Face	U+263A
Happy Face	U+263A
White Square Button	U+1F533
White Sun Behind Cloud With Rain	U+1F326
White Sun Behind Cloud	U+1F325
White Sun With Small Cloud	U+1F324
White Up Pointing Backhand Index	U+1F446
Pointing Up	U+1F446
Middle Finger	U+1F446
White Up Pointing Index	U+261D
Pointing Up	U+261D
Secret	U+261D
Wilted Flower	U+1F940
Dead Flower	U+1F940
Drooping Flower	U+1F940
Wind Blowing Face	U+1F32C
Blowing Wind	U+1F32C
Mother Nature	U+1F32C
Wind Chime	U+1F390
Wind Bell	U+1F390
Furin	U+1F390
Jellyfish	U+1F390
Wine Glass	U+1F377
Wine	U+1F377
Red Wine	U+1F377
Alcohol	U+1F377
Winking Face	U+1F609
Winky Face	U+1F609
Wink Face	U+1F609
Wink	U+1F609
Wolf Face	U+1F43A
Dingo	U+1F43A
Fox	U+1F43A
Yellow Dog	U+1F43A
Woman With Bunny Ears	U+1F46F
Dancing Girls	U+1F46F
Tap Dance	U+1F46F
Ballet	U+1F46F
Showgirls	U+1F46F
Woman	U+1F469
Female	U+1F469
Lady	U+1F469
Yellow Woman	U+1F469
Womans Boots	U+1F462
Knee High Boots	U+1F462
Cowgirl Boots	U+1F462
Womans Clothes	U+1F45A
Blouse	U+1F45A
Womans Shirt	U+1F45A
Pink Shirt	U+1F45A
Womans Hat	U+1F452
Hat	U+1F452
Ladies Hat	U+1F452
Womans Sandal	U+1F461
Sandals	U+1F461
Womens Symbol	U+1F6BA
Womens Toilet	U+1F6BA
Female Restroom	U+1F6BA
World Map	U+1F5FA
Worried Face	U+1F61F
Sadface	U+1F61F
Sad	U+1F61F
Wrapped Present	U+1F381
Present	U+1F381
Birthday Present	U+1F381
Christmas Present	U+1F381
Gift	U+1F381
Gift Box	U+1F381
Wrench	U+1F527
Spanner	U+1F527
Writing Hand	U+270D
Yellow Heart	U+1F49B
Gold Heart	U+1F49B
1 BF Snapchat	U+1F49B
Yin Yang	U+262F
Zero Width Joiner	U+200D
Zipper-Mouth Face	U+1F910
Lips Sealed	U+1F910
Sealed Lips	U+1F910
Zip It	U+1F910
